Valid Path,Path Number,Destination Coordinate,Destination Index,Fusion Lineage(s),Final Glyph(s),,
u,1,"(0, 0, 1)",1,u,u,,
uu,2,"(0, 0, 2)",2,U,U,,
a,3,"(0, 1, 0)",3,a,a,,
ua,4,"(0, 1, 1)",4,wa,wa,,
au,5,"(0, 1, 1)",4,o,o,,
auu,6,"(0, 1, 2)",5,"aU, ou","aU, ou",,
uua,7,"(0, 1, 2)",5,"Ua, uwa","Ua, uwa",,
uau,8,"(0, 1, 2)",5,"wau, wo","wau, wo",,
aa,9,"(0, 2, 0)",6,A,A,,
aua,10,"(0, 2, 1)",7,"awa, oa","awa, oa",,
aau,11,"(0, 2, 1)",7,"Au, ao","Au, ao",,
uaa,12,"(0, 2, 1)",7,"uA, waa","uA, waa",,
auua,13,"(0, 2, 2)",8,"aUa, owa","aUa, owa",,
uaau,14,"(0, 2, 2)",8,"uAu, wao","uAu, wao",,
auau,15,"(0, 2, 2)",8,"O, awau, awo","O, awau, awo",,
uaua,16,"(0, 2, 2)",8,"wawa, woa","wawa, woa",,
uuaa,17,"(0, 2, 2)",8,"UA, uwaa","UA, uwaa",,
aauu,18,"(0, 2, 2)",8,"AU, aou","AU, aou",,
i,19,"(1, 0, 0)",9,i,i,,
iu,20,"(1, 0, 1)",10,yu,yu,,
ui,21,"(1, 0, 1)",10,wi,wi,,
iuu,22,"(1, 0, 2)",11,"iU, yuu","iU, yuu",,
uui,23,"(1, 0, 2)",11,"Ui, uwi","Ui, uwi",,
uiu,24,"(1, 0, 2)",11,"uyu, wiu","uyu, wiu",,
ai,25,"(1, 1, 0)",12,e,e,,
ia,26,"(1, 1, 0)",12,ya,ya,,
uia,27,"(1, 1, 1)",13,"uya, wia","uya, wia",,
uai,28,"(1, 1, 1)",13,"wai, we","wai, we",,
iau,29,"(1, 1, 1)",13,"yau, yo","yau, yo",,
aui,30,"(1, 1, 1)",13,"awi, oi","awi, oi",,
aiu,31,"(1, 1, 1)",13,"ayu, eu","ayu, eu",,
iua,32,"(1, 1, 1)",13,"iwa, yua","iwa, yua",,
uuai,33,"(1, 1, 2)",14,"Ue, uwai, uwe","Ue, uwai, uwe",,
auui,34,"(1, 1, 2)",14,"aUi, owi","aUi, owi",,
iauu,35,"(1, 1, 2)",14,"yaU, you","yaU, you",,
iuau,36,"(1, 1, 2)",14,"iwau, iwo, yuo","iwau, iwo, yuo",,
iuua,37,"(1, 1, 2)",14,"iUa, yuwa","iUa, yuwa",,
uiau,38,"(1, 1, 2)",14,"uyau, uyo, wio","uyau, uyo, wio",,
uaiu,39,"(1, 1, 2)",14,"wayu, weu","wayu, weu",,
uiua,40,"(1, 1, 2)",14,"uyua, wiwa","uyua, wiwa",,
aiuu,41,"(1, 1, 2)",14,"ayuu, eU","ayuu, eU",,
uuia,42,"(1, 1, 2)",14,"Uya, uwia","Uya, uwia",,
uaui,43,"(1, 1, 2)",14,"wawi, woi","wawi, woi",,
auiu,44,"(1, 1, 2)",14,"awiu, oyu","awiu, oyu",,
iaa,45,"(1, 2, 0)",15,"iA, yaa","iA, yaa",,
aia,46,"(1, 2, 0)",15,"aya, ea","aya, ea",,
aai,47,"(1, 2, 0)",15,"Ai, ae","Ai, ae",,
iaau,48,"(1, 2, 1)",16,"iAu, yao","iAu, yao",,
iaua,49,"(1, 2, 1)",16,"yawa, yoa","yawa, yoa",,
iuaa,50,"(1, 2, 1)",16,"iwaa, yuA","iwaa, yuA",,
aaui,51,"(1, 2, 1)",16,"Awi, aoi","Awi, aoi",,
uiaa,52,"(1, 2, 1)",16,"uyaa, wiA","uyaa, wiA",,
uaia,53,"(1, 2, 1)",16,"waya, wea","waya, wea",,
aaiu,54,"(1, 2, 1)",16,"Ayu, aeu","Ayu, aeu",,
aiua,55,"(1, 2, 1)",16,"ayua, ewa","ayua, ewa",,
auia,56,"(1, 2, 1)",16,"awia, oya","awia, oya",,
aiau,57,"(1, 2, 1)",16,"ayau, ayo, eo","ayau, ayo, eo",,
uaai,58,"(1, 2, 1)",16,"uAi, wae","uAi, wae",,
auai,59,"(1, 2, 1)",16,"awai, awe, oe","awai, awe, oe",,
aiauu,60,"(1, 2, 2)",17,"ayaU, ayou, eaU, eou","ayaU, ayou, eaU, eou",,
iauau,61,"(1, 2, 2)",17,"iO, yawau, yawo, yoo","iO, yawau, yawo, yoo",,
uauia,62,"(1, 2, 2)",17,"wauya, wawia, woya","wauya, wawia, woya",,
auaui,63,"(1, 2, 2)",17,"Oi, awawi, awoi, oawi","Oi, awawi, awoi, oawi",,
auuia,64,"(1, 2, 2)",17,"aUya, ouya, owia","aUya, ouya, owia",,
uaaui,65,"(1, 2, 2)",17,"uAwi, waawi, waoi","uAwi, waawi, waoi",,
uauai,66,"(1, 2, 2)",17,"wawai, wawe, woe","wawai, wawe, woe",,
iaauu,67,"(1, 2, 2)",17,"iAU, yaaU, yaou","iAU, yaaU, yaou",,
iauua,68,"(1, 2, 2)",17,"yaUa, yauwa, yowa","yaUa, yauwa, yowa",,
auuai,69,"(1, 2, 2)",17,"aUe, owai, owe","aUe, owai, owe",,
auiau,70,"(1, 2, 2)",17,"awio, oyau, oyo","awio, oyau, oyo",,
auiua,71,"(1, 2, 2)",17,"awiwa, oiwa, oyua","awiwa, oiwa, oyua",,
uuiaa,72,"(1, 2, 2)",17,"UiA, Uyaa, uwiA","UiA, Uyaa, uwiA",,
aiuau,73,"(1, 2, 2)",17,"ayuo, ewau, ewo","ayuo, ewau, ewo",,
uiuaa,74,"(1, 2, 2)",17,"uyuA, wiuA, wiwaa","uyuA, wiuA, wiwaa",,
uiaau,75,"(1, 2, 2)",17,"uyao, wiAu, wiao","uyao, wiAu, wiao",,
auaiu,76,"(1, 2, 2)",17,"awayu, aweu, oayu, oeu","awayu, aweu, oayu, oeu",,
uuaia,77,"(1, 2, 2)",17,"Uaya, Uea, uwaya, uwea","Uaya, Uea, uwaya, uwea",,
aauiu,78,"(1, 2, 2)",17,"Auyu, Awiu, aoyu","Auyu, Awiu, aoyu",,
iuaau,79,"(1, 2, 2)",17,"iwao, yuAu, yuao","iwao, yuAu, yuao",,
iuuaa,80,"(1, 2, 2)",17,"iUA, yuuA, yuwaa","iUA, yuuA, yuwaa",,
aiuua,81,"(1, 2, 2)",17,"ayuwa, eUa, euwa","ayuwa, eUa, euwa",,
uiaua,82,"(1, 2, 2)",17,"uyawa, uyoa, wiawa, wioa","uyawa, uyoa, wiawa, wioa",,
uaiau,83,"(1, 2, 2)",17,"wayau, wayo, weo","wayau, wayo, weo",,
iuaua,84,"(1, 2, 2)",17,"iwawa, iwoa, yuawa, yuoa","iwawa, iwoa, yuawa, yuoa",,
aauui,85,"(1, 2, 2)",17,"AUi, Auwi, aowi","AUi, Auwi, aowi",,
uuaai,86,"(1, 2, 2)",17,"UAi, Uae, uwae","UAi, Uae, uwae",,
uaaiu,87,"(1, 2, 2)",17,"uAyu, waayu, waeu","uAyu, waayu, waeu",,
aaiuu,88,"(1, 2, 2)",17,"AiU, Ayuu, aeU","AiU, Ayuu, aeU",,
uaiua,89,"(1, 2, 2)",17,"waiwa, wayua, wewa","waiwa, wayua, wewa",,
ii,90,"(2, 0, 0)",18,I,I,,
iiu,91,"(2, 0, 1)",19,"Iu, iyu","Iu, iyu",,
iui,92,"(2, 0, 1)",19,"iwi, yui","iwi, yui",,
uii,93,"(2, 0, 1)",19,"uI, wii","uI, wii",,
iuui,94,"(2, 0, 2)",20,"iUi, yuwi","iUi, yuwi",,
iiuu,95,"(2, 0, 2)",20,"IU, iyuu","IU, iyuu",,
uiiu,96,"(2, 0, 2)",20,"uIu, wiyu","uIu, wiyu",,
uiui,97,"(2, 0, 2)",20,"uyui, wiwi","uyui, wiwi",,
uuii,98,"(2, 0, 2)",20,"UI, uwii","UI, uwii",,
iuiu,99,"(2, 0, 2)",20,"iwiu, yuyu","iwiu, yuyu",,
aii,100,"(2, 1, 0)",21,"aI, ei","aI, ei",,
iia,101,"(2, 1, 0)",21,"Ia, iya","Ia, iya",,
iai,102,"(2, 1, 0)",21,"yai, ye","yai, ye",,
iuai,103,"(2, 1, 1)",22,"iwai, iwe, yue","iwai, iwe, yue",,
iaiu,104,"(2, 1, 1)",22,"yayu, yeu","yayu, yeu",,
iaui,105,"(2, 1, 1)",22,"yawi, yoi","yawi, yoi",,
uaii,106,"(2, 1, 1)",22,"waI, wei","waI, wei",,
iiau,107,"(2, 1, 1)",22,"Io, iyau, iyo","Io, iyau, iyo",,
iiua,108,"(2, 1, 1)",22,"Iwa, iyua","Iwa, iyua",,
uiai,109,"(2, 1, 1)",22,"uyai, uye, wie","uyai, uye, wie",,
auii,110,"(2, 1, 1)",22,"awii, oI","awii, oI",,
aiui,111,"(2, 1, 1)",22,"ayui, ewi","ayui, ewi",,
uiia,112,"(2, 1, 1)",22,"uIa, wiya","uIa, wiya",,
aiiu,113,"(2, 1, 1)",22,"aIu, eyu","aIu, eyu",,
iuia,114,"(2, 1, 1)",22,"iwia, yuya","iwia, yuya",,
auiui,115,"(2, 1, 2)",23,"awiwi, oiwi, oyui","awiwi, oiwi, oyui",,
uuiai,116,"(2, 1, 2)",23,"Uyai, Uye, uwie","Uyai, Uye, uwie",,
uiaiu,117,"(2, 1, 2)",23,"uyayu, uyeu, wiayu, wieu","uyayu, uyeu, wiayu, wieu",,
iuiua,118,"(2, 1, 2)",23,"iwiwa, yuiwa, yuyua","iwiwa, yuiwa, yuyua",,
iaiuu,119,"(2, 1, 2)",23,"yaiU, yayuu, yeU","yaiU, yayuu, yeU",,
aiiuu,120,"(2, 1, 2)",23,"aIU, eiU, eyuu","aIU, eiU, eyuu",,
iuaiu,121,"(2, 1, 2)",23,"iwayu, iweu, yuayu, yueu","iwayu, iweu, yuayu, yueu",,
uiiau,122,"(2, 1, 2)",23,"uIo, wiyau, wiyo","uIo, wiyau, wiyo",,
iuuia,123,"(2, 1, 2)",23,"iUya, yuuya, yuwia","iUya, yuuya, yuwia",,
uiuai,124,"(2, 1, 2)",23,"uyue, wiwai, wiwe","uyue, wiwai, wiwe",,
uiiua,125,"(2, 1, 2)",23,"uIwa, wiiwa, wiyua","uIwa, wiiwa, wiyua",,
uuaii,126,"(2, 1, 2)",23,"UaI, Uei, uwaI, uwei","UaI, Uei, uwaI, uwei",,
iuuai,127,"(2, 1, 2)",23,"iUe, yuwai, yuwe","iUe, yuwai, yuwe",,
aiuui,128,"(2, 1, 2)",23,"ayuwi, eUi, euwi","ayuwi, eUi, euwi",,
uaiiu,129,"(2, 1, 2)",23,"waIu, waiyu, weyu","waIu, waiyu, weyu",,
uiaui,130,"(2, 1, 2)",23,"uyawi, uyoi, wiawi, wioi","uyawi, uyoi, wiawi, wioi",,
iiuau,131,"(2, 1, 2)",23,"Iwau, Iwo, iyuo","Iwau, Iwo, iyuo",,
iiuua,132,"(2, 1, 2)",23,"IUa, Iuwa, iyuwa","IUa, Iuwa, iyuwa",,
uiuia,133,"(2, 1, 2)",23,"uyuya, wiuya, wiwia","uyuya, wiuya, wiwia",,
uuiia,134,"(2, 1, 2)",23,"UIa, Uiya, uwiya","UIa, Uiya, uwiya",,
iuaui,135,"(2, 1, 2)",23,"iwawi, iwoi, yuawi, yuoi","iwawi, iwoi, yuawi, yuoi",,
iauiu,136,"(2, 1, 2)",23,"yauyu, yawiu, yoyu","yauyu, yawiu, yoyu",,
iiauu,137,"(2, 1, 2)",23,"IaU, Iou, iyaU, iyou","IaU, Iou, iyaU, iyou",,
uaiui,138,"(2, 1, 2)",23,"waiwi, wayui, wewi","waiwi, wayui, wewi",,
uauii,139,"(2, 1, 2)",23,"wauI, wawii, woI","wauI, wawii, woI",,
auiiu,140,"(2, 1, 2)",23,"awiyu, oIu, oiyu","awiyu, oIu, oiyu",,
auuii,141,"(2, 1, 2)",23,"aUI, ouI, owii","aUI, ouI, owii",,
aiuiu,142,"(2, 1, 2)",23,"ayuyu, euyu, ewiu","ayuyu, euyu, ewiu",,
iuiau,143,"(2, 1, 2)",23,"iwio, yuyau, yuyo","iwio, yuyau, yuyo",,
iauui,144,"(2, 1, 2)",23,"yaUi, yauwi, yowi","yaUi, yauwi, yowi",,
iiaa,145,"(2, 2, 0)",24,"IA, iyaa","IA, iyaa",,
aaii,146,"(2, 2, 0)",24,"AI, aei","AI, aei",,
aiia,147,"(2, 2, 0)",24,"aIa, eya","aIa, eya",,
aiai,148,"(2, 2, 0)",24,"E, ayai, aye","E, ayai, aye",,
iaai,149,"(2, 2, 0)",24,"iAi, yae","iAi, yae",,
iaia,150,"(2, 2, 0)",24,"yaya, yea","yaya, yea",,
uiaai,151,"(2, 2, 1)",25,"uyae, wiAi, wiae","uyae, wiAi, wiae",,
auaii,152,"(2, 2, 1)",25,"awaI, awei, oaI, oei","awaI, awei, oaI, oei",,
iuaai,153,"(2, 2, 1)",25,"iwae, yuAi, yuae","iwae, yuAi, yuae",,
aiaiu,154,"(2, 2, 1)",25,"Eu, ayayu, ayeu, eayu","Eu, ayayu, ayeu, eayu",,
aauii,155,"(2, 2, 1)",25,"AuI, Awii, aoI","AuI, Awii, aoI",,
iiaau,156,"(2, 2, 1)",25,"IAu, Iao, iyao","IAu, Iao, iyao",,
uaiia,157,"(2, 2, 1)",25,"waIa, waiya, weya","waIa, waiya, weya",,
iiuaa,158,"(2, 2, 1)",25,"IuA, Iwaa, iyuA","IuA, Iwaa, iyuA",,
uaiai,159,"(2, 2, 1)",25,"uE, wayai, waye, wee","uE, wayai, waye, wee",,
uaaii,160,"(2, 2, 1)",25,"uAI, waaI, waei","uAI, waaI, waei",,
iaaiu,161,"(2, 2, 1)",25,"iAyu, yaayu, yaeu","iAyu, yaayu, yaeu",,
aaiui,162,"(2, 2, 1)",25,"Aiwi, Ayui, aewi","Aiwi, Ayui, aewi",,
iauia,163,"(2, 2, 1)",25,"yauya, yawia, yoya","yauya, yawia, yoya",,
iiaua,164,"(2, 2, 1)",25,"Iawa, Ioa, iyawa, iyoa","Iawa, Ioa, iyawa, iyoa",,
